Hybrid	Gen	sample	S30_equal	S37_equal	R_equal	mu	R_plot
3D	0	A12	27405.06625	13720.91825	0.50067086592064	0.486949965219031	0.486949965219031
3D	0	B2	26323.1395	12183.44625	0.462841685354439	0.486949965219031	0.486949965219031
3D	0	B9	24246.283	13168.643	0.543120073291234	0.486949965219031	0.486949965219031
3D	0	C1	33207.559	12331.02975	0.371332013593652	0.486949965219031	0.486949965219031
3D	0	E10	26138.69525	13853.75925	0.530009593726756	0.486949965219031	0.486949965219031
3D	0	G3	25813.079	13580.50475	0.526109448237461	0.486949965219031	0.486949965219031
3D	0	H5	25645.66675	13585.49125	0.529738274400684	0.486949965219031	0.486949965219031
3D	0	H9	29998.86975	12952.845	0.43177776722738	0.486949965219031	0.486949965219031
3D	5000	A12	12351.50175	97.21225	0.00787048020294374	0.486949965219031	0.00787048020294374
3D	5000	B2	26226.8365	1866.5815	0.0711706690206423	0.486949965219031	0.0711706690206423
3D	5000	B9	29779.4075	1016.4905	0.0341340068636356	0.486949965219031	0.0341340068636356
3D	5000	C1	32212.03625	3217.96025	0.0998993117052636	0.486949965219031	0.0998993117052636
3D	5000	E10	26832.33125	1310.50825	0.0488406407102625	0.486949965219031	0.0488406407102625
3D	5000	G3	16617.782	379.91725	0.022862091342876	0.486949965219031	0.022862091342876
3D	5000	H5	32952.96275	7688.978	0.233331917932023	0.486949965219031	0.233331917932023
3D	5000	H9	29309.4985	1769.094	0.0603590675562054	0.486949965219031	0.0603590675562054
3D	9000	A12	38674.5225	2348.05125	0.0607131283909194	0.486949965219031	0.0607131283909194
3D	9000	B2	27924.0185	5639.73625	0.201967215069708	0.486949965219031	0.201967215069708
3D	9000	B9	32642.35725	637.887	0.0195416953228768	0.486949965219031	0.0195416953228768
3D	9000	C1	33024.0485	27127.77575	0.821455181365786	0.486949965219031	0.821455181365786
3D	9000	E10	31670.493	816.844	0.0257919572012978	0.486949965219031	0.0257919572012978
3D	9000	G3	22980.19425	1130.7835	0.0492068730010844	0.486949965219031	0.0492068730010844
3D	9000	H5	30633.0435	7013.08675	0.228938621459536	0.486949965219031	0.228938621459536
3D	9000	H9	33869.882	2491.6975	0.0735667605809787	0.486949965219031	0.0735667605809787
4A	0	A5	20957.154	9803.75925	0.467800124482551	0.435972970477385	0.435972970477385
